Partner_Name,Integration_Type,Setup_Difficulty,Support_Level,Documentation_Link,Certification_Status,Popular_Use_Cases
Salesforce,CRM,3,Full,https://docs.dataflow.com/salesforce,SOC 2,"Sales analytics, customer dashboards (Customer 1001, customer_analytics.csv, product_user_guide.md, Section 3.2)"
HubSpot,CRM,2,Full,https://docs.dataflow.com/hubspot,SOC 2,"Marketing campaigns, lead tracking (Customer 1017, customer_analytics.csv)"
Microsoft Dynamics 365,CRM,3,Full,https://docs.dataflow.com/dynamics,ISO 27001,"Customer insights, service analytics (Customer 1030, customer_analytics.csv)"
Zoho CRM,CRM,2,Community,https://docs.dataflow.com/zoho,None,"SMB sales tracking (Customer 1002, customer_analytics.csv)"
Pipedrive,CRM,2,Community,https://docs.dataflow.com/pipedrive,None,"Pipeline analytics (Customer 1008, customer_analytics.csv)"
Google Drive,Storage,1,Community,https://docs.dataflow.com/gdrive,None,"CSV uploads, data sharing (Customer 1015, customer_analytics.csv, troubleshooting_guide.txt, INT-7002)"
Amazon S3,Storage,3,Full,https://docs.dataflow.com/s3,SOC 2,"Large dataset storage (Customer 1036, customer_analytics.csv, system_architecture.md, Section 4)"
Dropbox,Storage,2,Community,https://docs.dataflow.com/dropbox,None,"File imports (Customer 1011, customer_analytics.csv)"
OneDrive,Storage,2,Full,https://docs.dataflow.com/onedrive,ISO 27001,"Team collaboration (Customer 1023, customer_analytics.csv)"
Box,Storage,2,Community,https://docs.dataflow.com/box,None,"Secure file uploads (Customer 1045, customer_analytics.csv)"
MySQL,Database,3,Full,https://docs.dataflow.com/mysql,SOC 2,"Transactional data analytics (Customer 1001, customer_analytics.csv, product_user_guide.md, Section 3.1)"
PostgreSQL,Database,3,Full,https://docs.dataflow.com/postgresql,SOC 2,"Enterprise analytics (Customer 1003, customer_analytics.csv, system_architecture.md, Section 2)"
SQL Server,Database,3,Full,https://docs.dataflow.com/sqlserver,ISO 27001,"Business reporting (Customer 1018, customer_analytics.csv)"
Oracle,Database,4,Full,https://docs.dataflow.com/oracle,SOC 2,"Financial analytics (Customer 1033, customer_analytics.csv)"
Snowflake,Database,3,Full,https://docs.dataflow.com/snowflake,SOC 2,"Data warehousing (Customer 1039, customer_analytics.csv, compliance_certifications.csv, HIPAA)"
Google BigQuery,Database,3,Full,https://docs.dataflow.com/bigquery,ISO 27001,"Big data analytics (Customer 1042, customer_analytics.csv)"
Amazon Redshift,Database,3,Full,https://docs.dataflow.com/redshift,SOC 2,"Analytics pipelines (Customer 1006, customer_analytics.csv, system_architecture.md, Section 2)"
MongoDB,Database,3,Community,https://docs.dataflow.com/mongodb,None,"NoSQL analytics (Customer 1025, customer_analytics.csv)"
Slack,Collaboration,2,Full,https://docs.dataflow.com/slack,SOC 2,"Team notifications (Customer 1015, customer_analytics.csv)"
Microsoft Teams,Collaboration,2,Full,https://docs.dataflow.com/teams,ISO 27001,"Dashboard sharing (Customer 1030, customer_analytics.csv)"
Zendesk,Support,3,Full,https://docs.dataflow.com/zendesk,SOC 2,"Support analytics (Customer 1001, customer_analytics.csv, customer_support_procedures.md)"
Intercom,Support,2,Community,https://docs.dataflow.com/intercom,None,"Customer engagement (Customer 1002, customer_analytics.csv)"
Freshdesk,Support,2,Community,https://docs.dataflow.com/freshdesk,None,"Ticket tracking (Customer 1017, customer_analytics.csv)"
Google Analytics,Analytics,2,Full,https://docs.dataflow.com/googleanalytics,ISO 27001,"Web traffic dashboards (Customer 1011, customer_analytics.csv)"
Mixpanel,Analytics,2,Community,https://docs.dataflow.com/mixpanel,None,"User behavior analytics (Customer 1008, customer_analytics.csv)"
Adobe Analytics,Analytics,3,Full,https://docs.dataflow.com/adobeanalytics,SOC 2,"Marketing insights (Customer 1023, customer_analytics.csv)"
Tableau,Analytics,4,Full,https://docs.dataflow.com/tableau,SOC 2,"Hybrid BI workflows (Customer 1033, customer_analytics.csv, competitive_analysis.txt)"
QuickBooks,Accounting,3,Full,https://docs.dataflow.com/quickbooks,SOC 2,"Financial reporting (Customer 1002, customer_analytics.csv)"
Xero,Accounting,2,Community,https://docs.dataflow.com/xero,None,"SMB accounting (Customer 1017, customer_analytics.csv)"
Sage Intacct,Accounting,3,Full,https://docs.dataflow.com/sage,ISO 27001,"Enterprise finance (Customer 1030, customer_analytics.csv)"
Shopify,E-commerce,2,Full,https://docs.dataflow.com/shopify,SOC 2,"Sales dashboards (Customer 1001, customer_analytics.csv)"
WooCommerce,E-commerce,2,Community,https://docs.dataflow.com/woocommerce,None,"Online store analytics (Customer 1008, customer_analytics.csv)"
Magento,E-commerce,3,Community,https://docs.dataflow.com/magento,None,"E-commerce reporting (Customer 1011, customer_analytics.csv)"
Stripe,Payments,3,Full,https://docs.dataflow.com/stripe,PCI DSS,"Payment analytics (Customer 1023, customer_analytics.csv, terms_of_service.md)"
PayPal,Payments,2,Community,https://docs.dataflow.com/paypal,PCI DSS,"Transaction tracking (Customer 1017, customer_analytics.csv)"
Twilio,Communication,3,Full,https://docs.dataflow.com/twilio,SOC 2,"SMS notifications (Customer 1045, customer_analytics.csv)"
SendGrid,Communication,2,Community,https://docs.dataflow.com/sendgrid,None,"Email analytics (Customer 1006, customer_analytics.csv)"
Mailchimp,Marketing,2,Full,https://docs.dataflow.com/mailchimp,SOC 2,"Campaign dashboards (Customer 1002, customer_analytics.csv)"
Marketo,Marketing,3,Full,https://docs.dataflow.com/marketo,ISO 27001,"Lead nurturing analytics (Customer 1030, customer_analytics.csv)"
Jira,Project Management,3,Full,https://docs.dataflow.com/jira,SOC 2,"Agile analytics (Customer 1003, customer_analytics.csv)"
Asana,Project Management,2,Community,https://docs.dataflow.com/asana,None,"Task tracking (Customer 1015, customer_analytics.csv)"
Trello,Project Management,2,Community,https://docs.dataflow.com/trello,None,"Project dashboards (Customer 1025, customer_analytics.csv)"
SAP,ERP,4,Full,https://docs.dataflow.com/sap,SOC 2,"Enterprise analytics (Customer 1033, customer_analytics.csv)"
NetSuite,ERP,3,Full,https://docs.dataflow.com/netsuite,ISO 27001,"Business operations (Customer 1039, customer_analytics.csv)"
Epicor,ERP,4,Community,https://docs.dataflow.com/epicor,None,"Manufacturing analytics (Customer 1042, customer_analytics.csv)"
Okta,Identity,3,Full,https://docs.dataflow.com/okta,SOC 2,"SSO integration (Customer 1018, customer_analytics.csv, security_policies.txt, Section 3)"
Ping Identity,Identity,3,Full,https://docs.dataflow.com/ping,ISO 27001,"Identity management (Customer 1036, customer_analytics.csv)"
Azure AD,Identity,3,Full,https://docs.dataflow.com/azuread,SOC 2,"Enterprise SSO (Customer 1009, customer_analytics.csv)"
Datadog,Monitoring,3,Full,https://docs.dataflow.com/datadog,SOC 2,"Infrastructure analytics (Customer 1003, customer_analytics.csv, system_architecture.md, Section 5)"
New Relic,Monitoring,3,Community,https://docs.dataflow.com/newrelic,None,"Performance tracking (Customer 1042, customer_analytics.csv)"
